Date Delisted	Species Name	Date SpeciesFirst Listed	Reason Delisted	Domestic or Foreign	FWS or NMFS
2017/06/30	Bear, grizzly (Ursus arctos horribilis)                              - Greater Yellowstone Ecosystem DPS	1975/07/28	Recovered	Domestic	FWS
2017/06/23	Vole, Hualapai Mexican (Microtus mexicanus hualpaiensis)                              - Wherever found	1987/10/01	Original Data in Error - Erroneous data	Domestic	FWS
2017/05/05	Parakeet, scarlet-chested (Neophema splendida)                              - Wherever found	1970/12/02	Recovered	Foreign	FWS
2017/05/05	Parakeet, turquoise (Neophema pulchella)                              - Wherever found	1970/06/02	Recovered	Foreign	FWS
2017/05/01	Wolf, gray (Canis lupus)                              - Northern Rocky Mountain DPS	1978/03/09	Recovered	Domestic	FWS
2016/10/11	Goldenrod, white-haired (Solidago albopilosa)                              - Wherever found	1988/04/07	Recovered	Domestic	FWS
2016/10/11	Whale, humpback (Megaptera novaeangliae)                              - West Indies DPS	1970/06/02	Recovered	Both Domestic and Foreign	NMFS/NOAA
2016/10/11	Whale, humpback (Megaptera novaeangliae)                              - Hawaii DPS	1970/06/02	Recovered	Both Domestic and Foreign	NMFS/NOAA
2016/10/11	Whale, humpback (Megaptera novaeangliae)                              - Brazil DPS	1970/06/02	Recovered	Foreign	NMFS/NOAA
2016/10/11	Whale, humpback (Megaptera novaeangliae)                              - Gabon/Southwest Africa DPS	1970/06/02	Recovered	Foreign	NMFS/NOAA
2016/10/11	Whale, humpback (Megaptera novaeangliae)                              - Southeast Africa/Madagascar DPS	1970/06/02	Recovered	Foreign	NMFS/NOAA
2016/10/11	Whale, humpback (Megaptera novaeangliae)                              - West Australia DPS	1970/06/02	Recovered	Foreign	NMFS/NOAA
2016/10/11	Whale, humpback (Megaptera novaeangliae)                              - East Australia DPS	1970/06/02	Recovered	Foreign	NMFS/NOAA
2016/10/11	Whale, humpback (Megaptera novaeangliae)                              - Oceania DPS	1970/06/02	Recovered	Both Domestic and Foreign	NMFS/NOAA
2016/10/11	Whale, humpback (Megaptera novaeangliae)                              - Southeastern Pacific DPS	1970/06/02	Recovered	Foreign	NMFS/NOAA
2016/09/12	Fox, San Miguel Island (Urocyon littoralis littoralis)                              - wherever found	2004/03/05	Recovered	Domestic	FWS
2016/09/12	Fox, Santa Cruz Island (Urocyon littoralis santacruzae)                              - wherever found	2004/03/05	Recovered	Domestic	FWS
2016/09/12	Fox, Santa Rosa Island (Urocyon littoralis santarosae)                              - wherever found	2004/03/05	Recovered	Domestic	FWS
2016/03/11	Bear, Louisiana black (Ursus americanus luteolus)                              - Wherever found	1992/01/07	Recovered	Domestic	FWS
2016/02/11	Frankenia, Johnston's (Frankenia johnstonii)                              - Wherever found	1984/08/07	Recovered	Both Domestic and Foreign	FWS
2016/01/07	Sucker, Modoc (Catostomus microps)                              - Wherever found	1985/06/11	Recovered	Domestic	FWS
2015/12/16	Squirrel, Delmarva Peninsula fox (Sciurus niger cinereus)                              - Wherever found, except where listed as an experimental population	1967/03/11	Recovered	Domestic	FWS
